Itens;Quantidade; Valor Total ;Data
Delícia de Minas P ;8;R$ 7,32;25/02/2023
Delícia de Minas P ;7;R$ 6,40;23/03/2023
Delícia de Minas P ;3;R$ 2,74;24/01/2023
Delícia de Minas P ;2;R$ 1,83;26/01/2023
Delícia de Minas P ;7;R$ 6,40;20/02/2023
Delícia de Minas P ;2;R$ 1,83;19/02/2023
Delícia de Minas P ;8;R$ 7,32;05/01/2023
Delícia de Minas P ;4;R$ 3,66;03/03/2023
Delícia de Minas P ;5;R$ 4,57;13/01/2023
Delícia de Minas P ;3;R$ 2,74;15/03/2023
Delícia de Minas P ;1;R$ 0,91;20/03/2023
Delícia de Minas P ;7;R$ 6,40;16/02/2023
Delícia de Minas P ;4;R$ 3,66;13/01/2023
Delícia de Minas P ;8;R$ 7,32;21/02/2023
Delícia de Minas P ;7;R$ 6,40;07/01/2023
Delícia de Minas P ;10;R$ 9,14;12/01/2023
Delícia de Minas P ;9;R$ 8,23;15/03/2023
Delícia de Minas P ;3;R$ 2,74;01/01/2023
Delícia de Minas P ;6;R$ 5,49;29/03/2023
Delícia de Minas P ;6;R$ 5,49;17/03/2023
Delícia de Minas P ;10;R$ 9,14;03/01/2023
Delícia de Minas P ;10;R$ 9,14;25/02/2023
Delícia de Minas P ;5;R$ 4,57;01/04/2023
Delícia de Minas P ;1;R$ 0,91;23/02/2023
Delícia de Minas P ;1;R$ 0,91;20/03/2023
Delícia de Minas P ;3;R$ 2,74;02/02/2023
Delícia de Minas P ;6;R$ 5,49;30/01/2023
Delícia de Minas P ;6;R$ 5,49;03/01/2023
Delícia de Minas P ;9;R$ 8,23;27/02/2023
Delícia de Minas P ;5;R$ 4,57;19/02/2023
Delícia de Minas P ;5;R$ 4,57;13/01/2023
Delícia de Minas P ;8;R$ 7,32;04/02/2023
Delícia de Minas P ;1;R$ 0,91;14/03/2023
Delícia de Minas P ;9;R$ 8,23;07/02/2023
Delícia de Minas P ;8;R$ 7,32;19/01/2023
Delícia de Minas P ;5;R$ 4,57;10/02/2023
Delícia de Minas P ;3;R$ 2,74;18/01/2023
Delícia de Minas P ;7;R$ 6,40;25/01/2023
Delícia de Minas P ;8;R$ 7,32;24/01/2023
Delícia de Minas P ;6;R$ 5,49;27/03/2023
Delícia de Minas P ;9;R$ 8,23;26/02/2023
Delícia de Minas P ;2;R$ 1,83;26/01/2023
Delícia de Minas P ;1;R$ 0,91;02/02/2023
Delícia de Minas P ;7;R$ 6,40;02/02/2023
Delícia de Minas P ;3;R$ 2,74;07/02/2023
Delícia de Minas P ;9;R$ 8,23;01/02/2023
Pão de queijo P;5;R$ 4,57;13/02/2023
Pão de queijo P;2;R$ 1,83;15/01/2023
Pão de queijo P;6;R$ 5,49;27/03/2023
Pão de queijo P;6;R$ 5,49;13/01/2023
Pão de queijo P;7;R$ 6,40;28/02/2023
Pão de queijo P;1;R$ 0,91;20/03/2023
Pão de queijo P;1;R$ 0,91;22/02/2023
Pão de queijo P;4;R$ 3,66;12/03/2023
Pão de queijo P;8;R$ 7,32;05/01/2023
Pão de queijo P;3;R$ 2,74;19/03/2023
Pão de queijo P;9;R$ 8,23;22/03/2023
Pão de queijo P;1;R$ 0,91;30/03/2023
Pão de queijo P;7;R$ 6,40;13/02/2023
Pão de queijo P;4;R$ 3,66;01/02/2023
Pão de queijo P;9;R$ 8,23;17/01/2023
Pão de queijo P;2;R$ 1,83;07/03/2023
Pão de queijo P;3;R$ 2,74;07/02/2023
Pão de queijo P;10;R$ 9,14;12/03/2023
Pão de queijo P;2;R$ 1,83;15/01/2023
Pão de queijo P;7;R$ 6,40;26/01/2023
Pão de queijo P;7;R$ 6,40;24/03/2023
Pão de queijo P;2;R$ 1,83;15/02/2023
Pão de queijo P;4;R$ 3,66;21/03/2023
Pão de queijo P;8;R$ 7,32;03/03/2023
Pão de queijo P;6;R$ 5,49;09/03/2023
Pão de queijo P;2;R$ 1,83;11/01/2023
Pão de queijo P;10;R$ 9,14;02/01/2023
Pão de queijo P;2;R$ 1,83;04/01/2023
Pão de queijo P;5;R$ 4,57;07/03/2023
Pão de queijo P;9;R$ 8,23;14/02/2023
Pão de queijo P;10;R$ 9,14;04/02/2023
Pão de queijo P;4;R$ 3,66;12/03/2023
Pão de queijo P;1;R$ 0,91;25/02/2023
Pão de queijo P;4;R$ 3,66;29/01/2023
Pão de queijo P;3;R$ 2,74;26/02/2023
Pão de queijo P;9;R$ 8,23;12/02/2023
Pão de queijo P;5;R$ 4,57;02/01/2023
Pão de queijo P;4;R$ 3,66;16/02/2023
Pão de queijo P;3;R$ 2,74;24/01/2023
Pão de queijo P;9;R$ 8,23;01/04/2023
Pão de queijo P;4;R$ 3,66;25/02/2023
Pão de queijo P;7;R$ 6,40;27/02/2023
Pão de queijo P;6;R$ 5,49;05/02/2023
Pão de queijo P;9;R$ 8,23;24/02/2023
Pão de queijo P;10;R$ 9,14;14/02/2023
Pão de queijo P;2;R$ 1,83;28/01/2023
Pão de queijo P;6;R$ 5,49;03/03/2023
Pão de queijo P;5;R$ 4,57;08/02/2023
Pão de queijo P;9;R$ 8,23;15/01/2023
Pão de queijo P;9;R$ 8,23;31/03/2023
Pão de queijo P;4;R$ 3,66;29/03/2023
Pão de queijo P;10;R$ 9,14;16/01/2023
Pão de queijo P;4;R$ 3,66;20/01/2023
Pão de queijo P;2;R$ 1,83;28/02/2023
Pão de queijo P;7;R$ 6,40;23/02/2023
Pão de queijo P;6;R$ 5,49;16/01/2023
Pão de queijo P;8;R$ 7,32;27/02/2023
Pão de queijo P;6;R$ 5,49;10/01/2023
Pão de queijo P;3;R$ 2,74;19/03/2023
Pão de queijo P;6;R$ 5,49;09/02/2023
Pão de queijo P;1;R$ 0,91;29/03/2023
Pão de queijo P;3;R$ 2,74;22/02/2023
Pão de queijo P;2;R$ 1,83;13/01/2023
Pão de queijo P;3;R$ 2,74;18/02/2023
Pão de queijo P;5;R$ 4,57;11/01/2023
Pão de queijo P;10;R$ 9,14;22/02/2023
Pão de queijo P;9;R$ 8,23;29/01/2023
Pão de queijo P;7;R$ 6,40;04/01/2023
Pão de queijo P;4;R$ 3,66;21/03/2023
Pão de queijo P;5;R$ 4,57;16/01/2023
Pão de queijo P;6;R$ 5,49;20/03/2023
Pão de queijo P;2;R$ 1,83;28/02/2023
Pão de queijo P;8;R$ 7,32;07/03/2023
Pão de queijo P;1;R$ 0,91;30/03/2023
Pão de queijo P;1;R$ 0,91;17/01/2023
Pão de queijo P;4;R$ 3,66;22/01/2023
Pão de queijo P;8;R$ 7,32;10/03/2023
Pão de queijo P;5;R$ 4,57;26/01/2023
Pão de queijo P;4;R$ 3,66;03/03/2023
Pão de queijo P;3;R$ 2,74;19/03/2023
Pão de queijo P;10;R$ 9,14;14/02/2023
Pão de queijo P;9;R$ 8,23;04/01/2023
Pão de queijo P;10;R$ 9,14;10/01/2023
Pão de queijo P;2;R$ 1,83;09/02/2023
Pão de queijo P;2;R$ 1,83;02/01/2023
Pão de queijo P;5;R$ 4,57;04/03/2023
Pão de queijo P;4;R$ 3,66;24/01/2023
Pão de queijo P;9;R$ 8,23;18/03/2023
Pão de queijo P;3;R$ 2,74;05/01/2023
Pão de queijo P;7;R$ 6,40;11/02/2023
Esfirra Carne G;8;R$ 7,32;23/02/2023
Esfirra Carne G;4;R$ 3,66;24/01/2023
Esfirra Carne G;10;R$ 9,14;13/02/2023
Esfirra Carne G;3;R$ 2,74;24/02/2023
Esfirra Carne G;5;R$ 4,57;29/03/2023
Esfirra Carne G;6;R$ 5,49;07/03/2023
Esfirra Carne G;10;R$ 9,14;14/03/2023
Esfirra Carne G;8;R$ 7,32;22/02/2023
Esfirra Carne G;9;R$ 8,23;18/01/2023
Esfirra Carne G;5;R$ 4,57;26/02/2023
Esfirra Carne G;8;R$ 7,32;25/01/2023
Esfirra Carne G;1;R$ 0,91;09/03/2023
Esfirra Carne G;2;R$ 1,83;31/03/2023
Esfirra Carne G;4;R$ 3,66;13/01/2023
Esfirra Carne G;5;R$ 4,57;23/01/2023
Esfirra Carne G;10;R$ 9,14;24/03/2023
Esfirra Carne G;5;R$ 4,57;28/03/2023
Esfirra Carne G;1;R$ 0,91;07/03/2023
Esfirra Carne G;2;R$ 1,83;08/01/2023
Esfirra Carne G;2;R$ 1,83;02/02/2023
Esfirra Carne G;1;R$ 0,91;02/01/2023
Esfirra Carne G;9;R$ 8,23;13/03/2023
Esfirra Carne G;4;R$ 3,66;10/01/2023
Esfirra Carne G;4;R$ 3,66;07/03/2023
Esfirra Carne G;3;R$ 2,74;08/03/2023
Esfirra Carne G;1;R$ 0,91;21/02/2023
Esfirra Carne G;1;R$ 0,91;01/02/2023
Esfirra Carne G;2;R$ 1,83;28/02/2023
Esfirra Carne G;7;R$ 6,40;12/03/2023
Esfirra Carne G;2;R$ 1,83;20/03/2023
Esfirra Carne G;10;R$ 9,14;04/03/2023
Esfirra Carne G;7;R$ 6,40;10/01/2023
Esfirra Carne G;5;R$ 4,57;19/01/2023
Esfirra Carne G;10;R$ 9,14;23/01/2023
Esfirra Carne G;10;R$ 9,14;31/03/2023
Esfirra Carne G;1;R$ 0,91;29/03/2023
Esfirra Carne G;7;R$ 6,40;25/01/2023
Esfirra Carne G;4;R$ 3,66;25/03/2023
Esfirra Carne G;3;R$ 2,74;23/02/2023
Esfirra Carne G;4;R$ 3,66;19/01/2023
Esfirra Carne G;5;R$ 4,57;31/03/2023
Esfirra Carne G;7;R$ 6,40;30/03/2023
Esfirra Carne G;5;R$ 4,57;01/02/2023
Esfirra Carne G;9;R$ 8,23;13/03/2023
Esfirra Carne G;10;R$ 9,14;29/03/2023
Esfirra Carne G;4;R$ 3,66;11/03/2023
Esfirra Carne G;9;R$ 8,23;24/01/2023
Esfirra Carne G;8;R$ 7,32;02/02/2023
Esfirra Carne G;3;R$ 2,74;04/03/2023
Esfirra Carne G;1;R$ 0,91;01/02/2023
Esfirra Carne G;5;R$ 4,57;09/02/2023
Esfirra Carne G;10;R$ 9,14;17/01/2023
Esfirra Carne G;9;R$ 8,23;07/02/2023
Esfirra Carne G;3;R$ 2,74;08/02/2023
Esfirra Carne G;9;R$ 8,23;03/03/2023
Esfirra Carne G;3;R$ 2,74;03/03/2023
Esfirra Carne G;3;R$ 2,74;14/01/2023
Esfirra Carne G;5;R$ 4,57;18/01/2023
Esfirra Carne G;9;R$ 8,23;27/02/2023
Esfirra Carne G;4;R$ 3,66;16/02/2023
Esfirra Carne G;2;R$ 1,83;16/03/2023
Esfirra Carne G;8;R$ 7,32;20/01/2023
Esfirra Carne G;10;R$ 9,14;19/02/2023
Esfirra Carne G;8;R$ 7,32;02/01/2023
Esfirra Carne G;5;R$ 4,57;19/02/2023
Esfirra Carne G;6;R$ 5,49;05/03/2023
Esfirra Carne G;9;R$ 8,23;22/01/2023
Esfirra Carne G;9;R$ 8,23;07/02/2023
Esfirra Carne G;6;R$ 5,49;23/01/2023
Esfirra Carne G;2;R$ 1,83;31/03/2023
Esfirra Carne G;9;R$ 8,23;10/02/2023
Esfirra Carne G;10;R$ 9,14;17/01/2023
Esfirra Carne G;9;R$ 8,23;13/01/2023
Esfirra Carne G;5;R$ 4,57;28/02/2023
Esfirra Carne G;5;R$ 4,57;17/03/2023
Esfirra Carne G;4;R$ 3,66;30/01/2023
Esfirra Carne G;1;R$ 0,91;04/02/2023
Esfirra Carne G;6;R$ 5,49;24/03/2023
Esfirra Carne G;4;R$ 3,66;02/03/2023
Esfirra Carne G;4;R$ 3,66;25/03/2023
Esfirra Carne G;6;R$ 5,49;10/03/2023
Esfirra Carne G;5;R$ 4,57;02/03/2023
Esfirra Carne G;5;R$ 4,57;08/01/2023
Esfirra Carne G;7;R$ 6,40;27/03/2023
Esfirra Carne G;10;R$ 9,14;24/03/2023
Esfirra Carne G;7;R$ 6,40;20/03/2023
Esfirra Carne G;9;R$ 8,23;21/03/2023
Esfirra Carne G;9;R$ 8,23;03/03/2023
Esfirra Carne G;3;R$ 2,74;09/03/2023
Esfirra Carne G;4;R$ 3,66;19/02/2023
Pão da Vovó G;4;R$ 3,66;01/04/2023
Pão da Vovó G;4;R$ 3,66;28/01/2023
Pão da Vovó G;6;R$ 5,49;21/01/2023
Pão da Vovó G;7;R$ 6,40;04/03/2023
Pão da Vovó G;3;R$ 2,74;14/02/2023
Pão da Vovó G;10;R$ 9,14;09/02/2023
Pão da Vovó G;4;R$ 3,66;12/02/2023
Pão da Vovó G;9;R$ 8,23;22/01/2023
Pão da Vovó G;9;R$ 8,23;16/03/2023
Pão da Vovó G;9;R$ 8,23;18/02/2023
Pão da Vovó G;7;R$ 6,40;28/03/2023
Pão da Vovó G;3;R$ 2,74;19/03/2023
Pão da Vovó G;2;R$ 1,83;31/03/2023
Pão da Vovó G;8;R$ 7,32;29/03/2023
Pão da Vovó G;8;R$ 7,32;20/02/2023
Pão da Vovó G;7;R$ 6,40;20/02/2023
Pão da Vovó G;9;R$ 8,23;16/02/2023
Pão da Vovó G;7;R$ 6,40;09/03/2023
Pão da Vovó G;9;R$ 8,23;19/03/2023
Pão da Vovó G;2;R$ 1,83;14/03/2023
Pão da Vovó G;10;R$ 9,14;15/02/2023
Pão da Vovó G;6;R$ 5,49;25/02/2023
Pão da Vovó G;7;R$ 6,40;26/01/2023
Pão da Vovó G;10;R$ 9,14;03/01/2023
Pão da Vovó G;10;R$ 9,14;14/03/2023
Pão da Vovó G;7;R$ 6,40;16/03/2023
Pão da Vovó G;5;R$ 4,57;10/03/2023
Pão da Vovó G;5;R$ 4,57;20/03/2023
Pão da Vovó G;1;R$ 0,91;26/02/2023
Pão da Vovó G;8;R$ 7,32;10/03/2023
Pão da Vovó G;8;R$ 7,32;19/02/2023
Pão da Vovó G;9;R$ 8,23;09/02/2023
Pão da Vovó G;10;R$ 9,14;18/02/2023
Pão da Vovó G;1;R$ 0,91;17/02/2023
Pão da Vovó G;5;R$ 4,57;28/03/2023
Pão da Vovó G;7;R$ 6,40;06/02/2023
Pão da Vovó G;5;R$ 4,57;26/03/2023
Pão da Vovó G;9;R$ 8,23;05/03/2023
Pão da Vovó G;7;R$ 6,40;02/02/2023
Pão da Vovó G;1;R$ 0,91;30/01/2023
Pão da Vovó G;1;R$ 0,91;23/03/2023
Pão da Vovó G;1;R$ 0,91;29/01/2023
Pão da Vovó G;8;R$ 7,32;17/02/2023
Pão da Vovó G;2;R$ 1,83;10/01/2023
Pão da Vovó G;10;R$ 9,14;12/03/2023
Pão da Vovó G;1;R$ 0,91;14/03/2023
Pão da Vovó G;1;R$ 0,91;01/01/2023
Pão da Vovó G;6;R$ 5,49;01/04/2023
Pão da Vovó G;5;R$ 4,57;18/01/2023
Pão da Vovó G;2;R$ 1,83;14/03/2023
Pão da Vovó G;10;R$ 9,14;23/01/2023
Pão da Vovó G;10;R$ 9,14;07/03/2023
Pão da Vovó G;9;R$ 8,23;14/02/2023
Pão da Vovó G;5;R$ 4,57;03/03/2023
Pão da Vovó G;1;R$ 0,91;26/03/2023
Pão da Vovó G;3;R$ 2,74;02/01/2023
Pão da Vovó G;2;R$ 1,83;17/01/2023
Pão da Vovó G;3;R$ 2,74;06/02/2023
Pão da Vovó G;5;R$ 4,57;02/01/2023
Pão da Vovó G;9;R$ 8,23;02/03/2023
Pão da Vovó G;3;R$ 2,74;22/03/2023
Pão da Vovó G;4;R$ 3,66;22/01/2023
Pão da Vovó G;5;R$ 4,57;25/02/2023
Pão da Vovó G;2;R$ 1,83;22/03/2023
Pão da Vovó G;1;R$ 0,91;06/01/2023
Pão da Vovó G;10;R$ 9,14;03/03/2023
Pão da Vovó G;1;R$ 0,91;25/02/2023
Pão da Vovó G;8;R$ 7,32;09/03/2023
Pão da Vovó G;1;R$ 0,91;04/03/2023
Pão da Vovó G;2;R$ 1,83;09/02/2023
Pão da Vovó G;4;R$ 3,66;09/03/2023
Pão da Vovó G;7;R$ 6,40;28/01/2023
Pão da Vovó G;7;R$ 6,40;19/01/2023
Pão da Vovó G;7;R$ 6,40;12/01/2023
Pão da Vovó G;1;R$ 0,91;29/01/2023
Pão da Vovó G;6;R$ 5,49;14/03/2023
Pão da Vovó G;5;R$ 4,57;20/03/2023
Pão da Vovó G;10;R$ 9,14;18/03/2023
Pão da Vovó G;9;R$ 8,23;02/02/2023
Pão da Vovó G;7;R$ 6,40;04/01/2023
Pão da Vovó G;10;R$ 9,14;31/01/2023
Pão da Vovó G;2;R$ 1,83;15/01/2023
Pão da Vovó G;7;R$ 6,40;11/03/2023
Pão da Vovó G;10;R$ 9,14;23/01/2023
Pão da Vovó G;2;R$ 1,83;10/02/2023
Pão da Vovó G;3;R$ 2,74;04/02/2023
Pão da Vovó G;9;R$ 8,23;26/01/2023
Pão da Vovó G;6;R$ 5,49;23/02/2023
Pão da Vovó G;9;R$ 8,23;28/01/2023
Pão da Vovó G;10;R$ 9,14;09/01/2023
Café G;8;R$ 7,32;21/01/2023
Café G;4;R$ 3,66;17/01/2023
Café G;2;R$ 1,83;27/02/2023
Café G;9;R$ 8,23;10/03/2023
Café G;8;R$ 7,32;31/03/2023
Café G;8;R$ 7,32;20/03/2023
Café G;6;R$ 5,49;02/03/2023
Café G;9;R$ 8,23;24/02/2023
Café G;7;R$ 6,40;05/03/2023
Café G;8;R$ 7,32;23/03/2023
Café G;4;R$ 3,66;08/01/2023
Café G;5;R$ 4,57;13/02/2023
Café G;7;R$ 6,40;03/03/2023
Café G;1;R$ 0,91;08/01/2023
Café G;5;R$ 4,57;22/03/2023
Café G;5;R$ 4,57;29/01/2023
Café G;5;R$ 4,57;02/02/2023
Café G;2;R$ 1,83;03/01/2023
Café G;8;R$ 7,32;27/03/2023
Café G;5;R$ 4,57;26/01/2023
Café G;6;R$ 5,49;28/03/2023
Café G;4;R$ 3,66;19/03/2023
Café G;1;R$ 0,91;26/01/2023
Café G;10;R$ 9,14;26/01/2023
Café G;5;R$ 4,57;19/01/2023
Café G;1;R$ 0,91;09/01/2023
Café G;6;R$ 5,49;02/03/2023
Café G;10;R$ 9,14;10/03/2023
Café G;5;R$ 4,57;20/01/2023
Café G;2;R$ 1,83;27/02/2023
Café G;9;R$ 8,23;09/02/2023
Café G;10;R$ 9,14;06/01/2023
Café G;8;R$ 7,32;13/02/2023
Café G;10;R$ 9,14;18/02/2023
Café G;4;R$ 3,66;26/01/2023
Café G;6;R$ 5,49;13/02/2023
Café G;6;R$ 5,49;28/01/2023
Café G;8;R$ 7,32;02/01/2023
Café G;2;R$ 1,83;09/03/2023
Café G;1;R$ 0,91;06/02/2023
Café G;2;R$ 1,83;07/02/2023
Café G;4;R$ 3,66;25/03/2023
Café G;1;R$ 0,91;11/01/2023
Café G;7;R$ 6,40;24/03/2023
Café G;1;R$ 0,91;05/02/2023
Café G;8;R$ 7,32;20/03/2023
Café G;10;R$ 9,14;03/01/2023
Café G;3;R$ 2,74;20/03/2023
Café G;9;R$ 8,23;04/02/2023
Café G;3;R$ 2,74;05/01/2023
Café G;9;R$ 8,23;05/01/2023
Café G;1;R$ 0,91;19/02/2023
Café G;7;R$ 6,40;17/03/2023
Café G;4;R$ 3,66;24/02/2023
Café G;8;R$ 7,32;24/01/2023
Café G;2;R$ 1,83;06/01/2023
Café G;10;R$ 9,14;28/01/2023
Café G;5;R$ 4,57;09/01/2023
Café G;7;R$ 6,40;28/02/2023
Café G;5;R$ 4,57;09/01/2023
Café G;10;R$ 9,14;09/02/2023
Café G;8;R$ 7,32;08/02/2023
Café G;1;R$ 0,91;15/02/2023
Café G;8;R$ 7,32;16/02/2023
Café G;2;R$ 1,83;19/02/2023
Café G;3;R$ 2,74;24/03/2023
Café G;7;R$ 6,40;27/03/2023
Café G;3;R$ 2,74;26/03/2023
Café G;5;R$ 4,57;15/03/2023
Café G;8;R$ 7,32;19/02/2023
Café G;5;R$ 4,57;18/02/2023
Café G;7;R$ 6,40;24/01/2023
Café G;1;R$ 0,91;08/01/2023
Café G;8;R$ 7,32;07/02/2023
Café G;2;R$ 1,83;23/03/2023
Café G;6;R$ 5,49;13/03/2023
Café G;10;R$ 9,14;10/01/2023
Café G;4;R$ 3,66;11/02/2023
Café G;10;R$ 9,14;30/03/2023
Café G;3;R$ 2,74;23/01/2023
Café G;1;R$ 0,91;28/01/2023
Café G;3;R$ 2,74;15/02/2023
Café G;3;R$ 2,74;20/01/2023
Café G;8;R$ 7,32;17/01/2023
Café G;6;R$ 5,49;03/02/2023
Café G;5;R$ 4,57;09/02/2023
Café G;6;R$ 5,49;03/02/2023
Café G;6;R$ 5,49;28/03/2023
Café G;6;R$ 5,49;03/01/2023
Café G;6;R$ 5,49;22/01/2023
Café P;6;R$ 5,49;14/02/2023
Café P;10;R$ 9,14;20/01/2023
Café P;7;R$ 6,40;22/03/2023
Café P;10;R$ 9,14;23/03/2023
Café P;8;R$ 7,32;04/02/2023
Café P;9;R$ 8,23;31/01/2023
Café P;1;R$ 0,91;25/01/2023
Café P;2;R$ 1,83;29/01/2023
Café P;4;R$ 3,66;21/01/2023
Café P;10;R$ 9,14;13/02/2023
Café P;6;R$ 5,49;03/01/2023
Café P;4;R$ 3,66;11/03/2023
Café P;10;R$ 9,14;10/03/2023
Café P;7;R$ 6,40;18/03/2023
Café P;1;R$ 0,91;07/02/2023
Café P;4;R$ 3,66;13/02/2023
Café P;10;R$ 9,14;30/03/2023
Café P;7;R$ 6,40;16/03/2023
Café P;6;R$ 5,49;26/02/2023
Café P;4;R$ 3,66;05/03/2023
Café P;6;R$ 5,49;01/04/2023
Café P;1;R$ 0,91;25/03/2023
Café P;5;R$ 4,57;13/02/2023
Café P;3;R$ 2,74;08/01/2023
Café P;6;R$ 5,49;28/03/2023
Café P;10;R$ 9,14;24/03/2023
Café P;5;R$ 4,57;18/02/2023
Café P;3;R$ 2,74;28/01/2023
Café P;4;R$ 3,66;20/03/2023
Café P;10;R$ 9,14;22/01/2023
Café P;5;R$ 4,57;09/03/2023
Café P;5;R$ 4,57;03/03/2023
Café P;9;R$ 8,23;13/01/2023
Café P;1;R$ 0,91;11/01/2023
Café P;9;R$ 8,23;25/02/2023
Café P;3;R$ 2,74;04/02/2023
Café P;7;R$ 6,40;01/01/2023
Café P;2;R$ 1,83;05/03/2023
Café P;1;R$ 0,91;06/02/2023
Café P;9;R$ 8,23;02/01/2023
Café P;9;R$ 8,23;16/03/2023
Café P;2;R$ 1,83;31/03/2023
Café P;2;R$ 1,83;17/02/2023
Café P;7;R$ 6,40;20/01/2023
Café P;4;R$ 3,66;16/01/2023
Café P;1;R$ 0,91;25/03/2023
Café P;6;R$ 5,49;08/02/2023
Café P;8;R$ 7,32;28/03/2023
Café P;9;R$ 8,23;17/02/2023
Café P;3;R$ 2,74;09/02/2023
Café P;1;R$ 0,91;26/01/2023
Café P;1;R$ 0,91;21/01/2023
Café P;7;R$ 6,40;18/01/2023
Café P;8;R$ 7,32;24/01/2023
Café P;2;R$ 1,83;16/01/2023
Café P;4;R$ 3,66;10/01/2023
Café P;4;R$ 3,66;16/01/2023
Café P;9;R$ 8,23;27/03/2023
Café P;7;R$ 6,40;16/03/2023
Café P;3;R$ 2,74;21/03/2023
Café P;10;R$ 9,14;07/03/2023
Café P;2;R$ 1,83;15/02/2023
Café P;4;R$ 3,66;26/02/2023
Café P;3;R$ 2,74;04/03/2023
Café P;6;R$ 5,49;09/02/2023
Café P;3;R$ 2,74;22/03/2023
Café P;10;R$ 9,14;14/02/2023
Café P;6;R$ 5,49;31/03/2023
Café P;7;R$ 6,40;11/03/2023
Café P;10;R$ 9,14;25/03/2023
Café P;10;R$ 9,14;05/02/2023
Café P;3;R$ 2,74;13/02/2023
Café P;3;R$ 2,74;09/02/2023
Café P;10;R$ 9,14;28/01/2023
Café P;8;R$ 7,32;13/02/2023
Café P;5;R$ 4,57;25/02/2023
Café P;4;R$ 3,66;29/01/2023
Café P;5;R$ 4,57;14/02/2023
Café P;2;R$ 1,83;20/02/2023
Café P;2;R$ 1,83;24/01/2023
Café P;1;R$ 0,91;21/03/2023
Café P;1;R$ 0,91;15/01/2023
Café P;7;R$ 6,40;26/01/2023
Café P;3;R$ 2,74;03/03/2023
Café P;3;R$ 2,74;09/02/2023
Café P;3;R$ 2,74;17/01/2023
Café P;8;R$ 7,32;20/02/2023
Café P;4;R$ 3,66;08/01/2023
Café P;10;R$ 9,14;13/01/2023
Café P;3;R$ 2,74;09/03/2023
Enroladinho de Salsicha P;8;R$ 7,32;05/01/2023
Enroladinho de Salsicha P;9;R$ 8,23;18/02/2023
Enroladinho de Salsicha P;4;R$ 3,66;06/01/2023
Enroladinho de Salsicha P;2;R$ 1,83;21/03/2023
Enroladinho de Salsicha P;6;R$ 5,49;01/03/2023
Enroladinho de Salsicha P;5;R$ 4,57;25/01/2023
Enroladinho de Salsicha P;4;R$ 3,66;11/02/2023
Enroladinho de Salsicha P;6;R$ 5,49;19/03/2023
Enroladinho de Salsicha P;3;R$ 2,74;18/01/2023
Enroladinho de Salsicha P;1;R$ 0,91;07/01/2023
Enroladinho de Salsicha P;9;R$ 8,23;11/01/2023
Enroladinho de Salsicha P;8;R$ 7,32;14/02/2023
Enroladinho de Salsicha P;2;R$ 1,83;08/03/2023
Enroladinho de Salsicha P;5;R$ 4,57;26/03/2023
